sisa_umur_jam,jam_operasi_aktif,jenis_mesin,tekanan_oli_bar,id_log_sensor,suhu_c,vibrasi_mm_s,durasi_perbaikan_jam,shift_operator,kebisingan_lingkungan_db
84.1,2695,Robot_Arm,2.15,LOG-00001,92.1,3.49,9,Shift_3,79.1
221.1,15705,Conveyor_Belt,2.22,LOG-00002,41.6,4.51,5,Shift_3,73.1
237.2,13436,CNC_Milling,3.6,LOG-00003,63.3,2.19,10,Shift_2,83.8
258.2,9338,CNC_Milling,4.34,LOG-00004,50.6,5.0,9,Shift_2,86.2
261.7,9227,Robot_Arm,3.85,LOG-00005,34.3,5.54,9,Shift_3,90.4
203.8,17313,Robot_Arm,2.72,LOG-00006,49.6,5.36,8,Shift_1,86.1
88.5,2632,Robot_Arm,2.21,LOG-00007,82.6,3.62,2,Shift_3,84.5
203.3,14249,Conveyor_Belt,2.66,LOG-00008,64.5,6.73,6,Shift_2,101.0
272.8,4827,Conveyor_Belt,3.1,LOG-00009,61.7,3.36,9,Shift_3,81.5
285.8,2789,Robot_Arm,2.94,LOG-00010,76.6,3.13,11,Shift_2,68.2
187.5,11003,Conveyor_Belt,2.18,LOG-00011,66.7,7.6,9,Shift_2,76.9
201.1,19536,Robot_Arm,4.03,LOG-00012,74.2,1.23,4,Shift_2,96.2
231.4,14979,Robot_Arm,4.05,LOG-00013,69.8,0.1,7,Shift_3,83.0
222.3,15461,CNC_Milling,4.51,LOG-00014,73.1,1.83,9,Shift_1,76.2
228.9,14632,CNC_Milling,1.67,LOG-00015,58.3,4.97,10,Shift_3,92.2
1.0,15935,CNC_Milling,2.35,LOG-00016,80.7,7.21,3,Shift_2,100.6
240.6,10751,Robot_Arm,3.2,LOG-00017,46.8,2.35,11,Shift_3,83.1
183.2,3434,Robot_Arm,3.0,LOG-00018,63.7,8.54,6,Shift_3,91.5
212.6,16955,CNC_Milling,2.64,LOG-00019,81.5,4.07,10,Shift_1,99.8
258.1,9557,Robot_Arm,2.32,LOG-00020,62.7,3.71,9,Shift_2,105.9
245.8,10506,CNC_Milling,2.2,LOG-00021,58.5,1.88,7,Shift_1,90.7
142.8,8045,CNC_Milling,4.62,LOG-00022,99.3,8.88,6,Shift_2,84.5
73.3,4468,Conveyor_Belt,1.86,LOG-00023,86.3,3.62,4,Shift_3,84.4
206.6,18608,Robot_Arm,1.75,LOG-00024,67.1,0.67,7,Shift_1,63.3
57.8,15849,CNC_Milling,2.05,LOG-00025,50.4,10.14,4,Shift_1,72.3
234.1,13233,Robot_Arm,3.15,LOG-00026,34.5,4.98,6,Shift_2,90.1
267.8,8645,CNC_Milling,2.78,LOG-00027,75.6,6.0,4,Shift_2,111.3
126.6,16632,Robot_Arm,3.33,LOG-00028,84.0,8.2,4,Shift_2,79.4
238.8,11363,Conveyor_Belt,2.43,LOG-00029,70.9,5.54,11,Shift_2,82.8
234.6,9424,Robot_Arm,3.07,LOG-00030,39.3,6.44,10,Shift_1,89.2
253.9,9558,Robot_Arm,3.07,LOG-00031,67.4,4.14,7,Shift_3,100.8
267.0,5317,CNC_Milling,4.26,LOG-00032,57.7,5.83,8,Shift_3,76.8
292.8,2750,Robot_Arm,4.42,LOG-00033,67.4,3.91,2,Shift_1,80.6
241.0,11537,CNC_Milling,2.88,LOG-00034,94.2,3.95,9,Shift_1,85.3
219.1,17869,CNC_Milling,3.68,LOG-00035,76.8,4.3,11,Shift_1,86.6
295.6,2212,Conveyor_Belt,3.13,LOG-00036,73.6,3.01,11,Shift_3,87.2
216.8,17307,Robot_Arm,3.62,LOG-00037,64.3,5.26,2,Shift_2,89.1
216.3,16724,Robot_Arm,3.31,LOG-00038,71.2,5.25,8,Shift_3,91.1
261.7,6258,CNC_Milling,3.59,LOG-00039,54.2,6.05,6,Shift_2,88.7
231.8,13001,Conveyor_Belt,3.68,LOG-00040,73.3,5.6,2,Shift_2,85.4
153.9,4139,CNC_Milling,3.34,LOG-00041,62.1,9.0,9,Shift_3,71.6
192.2,15403,Robot_Arm,3.11,LOG-00042,52.7,6.63,8,Shift_1,72.4
229.9,14309,Conveyor_Belt,3.83,LOG-00043,77.2,3.48,4,Shift_3,78.0
263.0,7735,Robot_Arm,2.89,LOG-00044,31.5,5.13,7,Shift_2,96.8
219.6,2290,Conveyor_Belt,2.54,LOG-00045,56.8,7.53,5,Shift_3,99.7
200.3,19443,CNC_Milling,1.76,LOG-00046,74.2,1.63,4,Shift_3,72.0
127.0,9468,Robot_Arm,3.34,LOG-00047,83.4,9.04,6,Shift_3,94.9
217.4,17969,Conveyor_Belt,3.55,LOG-00048,72.1,2.06,7,Shift_3,69.8
210.1,13880,Robot_Arm,1.62,LOG-00049,54.9,6.25,2,Shift_1,91.7
230.6,15789,Robot_Arm,2.51,LOG-00050,64.2,4.02,8,Shift_2,81.1
225.7,15438,CNC_Milling,3.6,LOG-00051,69.4,3.87,6,Shift_1,64.1
263.7,4698,Robot_Arm,2.89,LOG-00052,88.4,0.74,7,Shift_1,75.4
246.4,7914,Conveyor_Belt,3.04,LOG-00053,78.8,6.27,3,Shift_3,79.6
252.9,9867,Robot_Arm,3.73,LOG-00054,78.9,0.78,3,Shift_3,90.0
244.3,10458,Conveyor_Belt,2.91,LOG-00055,66.0,0.39,7,Shift_2,85.1
253.5,1832,Robot_Arm,3.31,LOG-00056,48.9,6.9,8,Shift_2,84.3
155.7,11384,Robot_Arm,2.14,LOG-00057,43.9,8.47,8,Shift_1,82.7
278.2,3931,CNC_Milling,3.28,LOG-00058,60.5,2.33,2,Shift_3,95.4
198.6,15124,Robot_Arm,1.93,LOG-00059,75.5,6.51,6,Shift_2,75.5
234.7,13977,Conveyor_Belt,1.96,LOG-00060,57.5,5.99,3,Shift_2,90.8
200.3,18528,Robot_Arm,2.6,LOG-00061,73.6,3.77,7,Shift_2,109.5
174.2,15150,CNC_Milling,3.44,LOG-00062,53.1,7.34,9,Shift_3,90.9
263.1,7966,Robot_Arm,3.04,LOG-00063,55.4,3.59,11,Shift_2,90.6
12.2,19382,Robot_Arm,2.37,LOG-00064,86.1,5.29,6,Shift_1,78.9
258.0,8806,Conveyor_Belt,3.7,LOG-00065,76.5,0.87,6,Shift_3,105.9
262.9,7190,CNC_Milling,3.26,LOG-00066,60.4,0.97,7,Shift_2,77.5
172.0,18205,CNC_Milling,3.84,LOG-00067,52.5,6.92,2,Shift_2,84.6
270.5,8038,Robot_Arm,2.29,LOG-00068,79.2,5.38,5,Shift_1,63.6
288.1,2450,CNC_Milling,4.15,LOG-00069,78.1,3.64,5,Shift_1,78.9
138.5,9921,Conveyor_Belt,4.27,LOG-00070,74.6,8.77,7,Shift_1,93.0
109.5,16117,Robot_Arm,3.73,LOG-00071,62.3,8.74,3,Shift_2,84.0
279.4,4599,Robot_Arm,3.39,LOG-00072,48.6,5.1,2,Shift_3,95.9
249.1,9795,CNC_Milling,3.4,LOG-00073,64.8,0.36,5,Shift_2,87.4
277.5,3468,Robot_Arm,3.26,LOG-00074,86.1,3.72,2,Shift_3,90.3
226.4,14043,Conveyor_Belt,1.9,LOG-00075,51.4,1.92,9,Shift_1,95.3
245.4,10038,Robot_Arm,2.52,LOG-00076,65.7,4.22,11,Shift_1,69.5
262.9,7273,CNC_Milling,2.92,LOG-00077,89.5,1.66,8,Shift_1,93.7
270.4,5311,CNC_Milling,2.18,LOG-00078,60.4,1.01,4,Shift_3,81.6
240.5,11725,Conveyor_Belt,4.15,LOG-00079,63.1,0.1,9,Shift_3,80.5
230.6,13726,Conveyor_Belt,3.4,LOG-00080,44.7,4.42,10,Shift_2,74.5
207.0,18865,CNC_Milling,4.43,LOG-00081,74.3,0.1,10,Shift_2,89.8
248.7,9305,Robot_Arm,3.63,LOG-00082,53.9,3.2,7,Shift_1,86.6
288.2,4053,CNC_Milling,1.88,LOG-00083,41.7,5.74,6,Shift_1,93.7
222.1,16820,Robot_Arm,4.05,LOG-00084,50.7,2.19,2,Shift_3,69.8
237.9,12965,CNC_Milling,2.64,LOG-00085,68.1,1.29,6,Shift_3,95.8
232.2,14305,Conveyor_Belt,4.09,LOG-00086,41.3,3.83,2,Shift_2,90.3
280.1,2847,Conveyor_Belt,4.21,LOG-00087,44.2,1.93,5,Shift_3,76.4
262.4,6934,CNC_Milling,4.08,LOG-00088,73.4,4.46,2,Shift_1,95.3
219.7,15589,Robot_Arm,3.86,LOG-00089,63.9,1.42,5,Shift_3,89.1
208.8,16812,CNC_Milling,3.35,LOG-00090,51.3,3.74,7,Shift_2,72.4
251.8,9269,CNC_Milling,2.99,LOG-00091,60.2,3.13,5,Shift_1,86.9
229.9,16290,CNC_Milling,4.51,LOG-00092,91.1,3.97,5,Shift_2,59.9
132.0,16992,CNC_Milling,3.22,LOG-00093,84.2,8.09,9,Shift_1,91.9
265.8,8362,Conveyor_Belt,2.69,LOG-00094,63.4,4.5,11,Shift_3,78.4
217.0,18063,CNC_Milling,3.35,LOG-00095,77.2,5.26,4,Shift_1,68.4
262.9,6478,Conveyor_Belt,3.92,LOG-00096,66.8,2.44,3,Shift_1,61.4
272.4,5551,CNC_Milling,3.89,LOG-00097,38.4,4.56,2,Shift_3,88.1
228.2,13967,Robot_Arm,2.13,LOG-00098,35.7,3.31,5,Shift_3,83.7
239.2,13098,Robot_Arm,3.86,LOG-00099,51.4,4.07,6,Shift_2,81.7
284.1,3655,Conveyor_Belt,3.55,LOG-00100,41.4,5.62,2,Shift_1,87.5
224.2,16821,CNC_Milling,2.72,LOG-00101,69.1,2.75,6,Shift_3,85.1
277.0,4798,CNC_Milling,2.34,LOG-00102,56.8,3.0,8,Shift_3,92.4
222.7,16293,Robot_Arm,4.14,LOG-00103,71.4,2.78,6,Shift_3,84.9
291.1,1139,Robot_Arm,4.22,LOG-00104,71.6,2.74,2,Shift_1,80.3
212.0,16140,Robot_Arm,4.26,LOG-00105,75.4,4.43,6,Shift_1,80.4
223.6,15951,CNC_Milling,1.95,LOG-00106,51.0,3.09,8,Shift_3,87.1
152.0,15826,CNC_Milling,2.83,LOG-00107,72.7,7.74,6,Shift_3,89.6
46.6,13632,Conveyor_Belt,3.05,LOG-00108,50.7,10.7,9,Shift_2,79.1
257.3,9959,Robot_Arm,4.2,LOG-00109,75.7,2.58,11,Shift_1,80.2
229.7,14398,Robot_Arm,3.65,LOG-00110,83.3,4.74,11,Shift_2,87.7
248.8,6265,CNC_Milling,2.82,LOG-00111,75.8,6.6,4,Shift_3,88.2
225.9,15833,CNC_Milling,3.13,LOG-00112,62.3,3.34,4,Shift_3,75.6
241.5,11557,Conveyor_Belt,3.57,LOG-00113,73.5,1.51,3,Shift_1,72.3
154.4,9719,Robot_Arm,3.6,LOG-00114,42.0,8.35,8,Shift_2,85.5
256.9,10606,CNC_Milling,4.34,LOG-00115,38.6,5.72,7,Shift_1,89.8
242.9,11806,Conveyor_Belt,4.17,LOG-00116,72.0,4.8,5,Shift_3,87.7
227.7,1707,Robot_Arm,4.0,LOG-00117,84.6,7.63,3,Shift_1,71.0
276.8,3656,CNC_Milling,2.39,LOG-00118,46.5,5.93,5,Shift_3,88.3
272.9,5664,CNC_Milling,2.44,LOG-00119,65.2,3.88,3,Shift_1,93.6
285.7,3176,Robot_Arm,2.21,LOG-00120,71.6,1.56,10,Shift_3,80.7
248.6,9352,CNC_Milling,3.34,LOG-00121,55.8,2.77,6,Shift_3,78.4
194.8,13699,Robot_Arm,2.62,LOG-00122,59.9,7.01,10,Shift_1,96.8
231.6,13434,Robot_Arm,3.48,LOG-00123,74.2,5.71,10,Shift_3,95.7
239.2,9950,CNC_Milling,3.59,LOG-00124,66.6,3.53,4,Shift_2,75.6
114.4,17246,Conveyor_Belt,3.2,LOG-00125,66.7,8.42,3,Shift_1,87.0
246.1,11739,CNC_Milling,3.73,LOG-00126,50.3,3.61,7,Shift_3,74.1
264.2,2504,Robot_Arm,2.51,LOG-00127,64.5,6.47,3,Shift_3,89.3
234.4,15534,Robot_Arm,1.84,LOG-00128,59.0,4.55,9,Shift_2,80.2
129.6,11917,Robot_Arm,2.46,LOG-00129,59.8,8.83,8,Shift_2,75.1
245.9,13059,Robot_Arm,3.69,LOG-00130,56.9,5.88,5,Shift_1,70.7
235.8,11742,Robot_Arm,4.5,LOG-00131,64.6,4.12,7,Shift_3,97.5
236.4,11518,Conveyor_Belt,4.21,LOG-00132,52.0,3.55,3,Shift_2,80.3
285.2,2720,Conveyor_Belt,2.87,LOG-00133,65.2,3.96,4,Shift_3,116.7
235.5,11624,Conveyor_Belt,3.8,LOG-00134,59.5,2.19,10,Shift_1,99.2
217.2,16103,CNC_Milling,1.92,LOG-00135,51.0,0.58,5,Shift_3,98.0
274.1,6775,Robot_Arm,4.27,LOG-00136,35.8,4.77,7,Shift_2,64.6
236.2,12453,Robot_Arm,3.45,LOG-00137,79.2,2.67,10,Shift_3,83.7
284.1,1585,CNC_Milling,3.66,LOG-00138,76.2,2.66,4,Shift_2,64.1
263.5,7602,Robot_Arm,1.5,LOG-00139,52.9,3.78,6,Shift_3,89.7
260.1,9297,CNC_Milling,3.4,LOG-00140,75.2,4.13,2,Shift_1,84.4
192.3,19672,CNC_Milling,4.51,LOG-00141,49.6,4.02,3,Shift_3,99.9
173.9,5077,CNC_Milling,3.27,LOG-00142,60.4,8.35,10,Shift_2,74.5
269.0,6254,CNC_Milling,2.96,LOG-00143,57.0,5.66,10,Shift_1,89.7
119.4,8762,CNC_Milling,2.83,LOG-00144,60.8,9.27,6,Shift_2,85.4
199.9,19860,Robot_Arm,2.46,LOG-00145,74.7,2.9,6,Shift_2,84.7
221.1,17214,Robot_Arm,3.11,LOG-00146,59.0,5.96,7,Shift_1,92.9
289.8,1659,CNC_Milling,2.07,LOG-00147,59.9,3.04,7,Shift_1,89.9
275.1,5444,CNC_Milling,3.4,LOG-00148,76.1,2.6,3,Shift_1,93.7
85.2,16611,Conveyor_Belt,3.93,LOG-00149,65.9,9.36,3,Shift_2,90.4
285.5,2107,CNC_Milling,2.7,LOG-00150,56.1,2.08,2,Shift_3,88.7
208.4,17257,Robot_Arm,3.35,LOG-00151,68.6,0.1,7,Shift_3,77.6
273.2,6346,Robot_Arm,2.99,LOG-00152,79.9,2.23,5,Shift_3,81.9
208.1,18435,Robot_Arm,3.36,LOG-00153,80.8,0.1,7,Shift_1,74.6
