generation,best_fitness,best_cost,best_breakdown_count,best_total_lateness_jam,generation_mean_fitness,generation_best_fitness,generation_best_cost
0,9.472171125910663e-07,1055723.17,46,5956.590000000001,7.909368027253018e-07,9.472171125910663e-07,1055723.17
1,9.472171125910663e-07,1055723.17,46,5956.590000000001,8.114272494108506e-07,9.472171125910663e-07,1055723.17
2,9.472171125910663e-07,1055723.17,46,5956.590000000001,8.298513358888044e-07,9.472171125910663e-07,1055723.17
3,9.472171125910663e-07,1055723.17,46,5956.590000000001,8.500240697864002e-07,9.472171125910663e-07,1055723.17
4,9.472171125910663e-07,1055723.17,46,5956.590000000001,8.666280191990755e-07,9.472171125910663e-07,1055723.17
5,9.472171125910663e-07,1055723.17,46,5956.590000000001,8.864198525018143e-07,9.472171125910663e-07,1055723.17
6,9.472171125910663e-07,1055723.17,46,5956.590000000001,8.982309100184928e-07,9.472171125910663e-07,1055723.17
7,9.472171125910663e-07,1055723.17,46,5956.590000000001,9.094117510826397e-07,9.472171125910663e-07,1055723.17
8,9.53493015825753e-07,1048774.38,45,5987.1,9.170740081379577e-07,9.53493015825753e-07,1048774.38
9,9.536748984832144e-07,1048574.36,45,5985.1,9.240344539947513e-07,9.536748984832144e-07,1048574.36
10,9.540388720467108e-07,1048174.32,45,5981.099999999999,9.352152428320358e-07,9.540388720467108e-07,1048174.32
11,9.55721462854796e-07,1046328.96,44,6062.639999999999,9.334004849148532e-07,9.55721462854796e-07,1046328.96
12,9.55721462854796e-07,1046328.96,44,6062.639999999999,9.396299621197502e-07,9.55721462854796e-07,1046328.96
13,9.586536147127409e-07,1043128.64,44,6030.64,9.467553875830962e-07,9.586536147127409e-07,1043128.64
14,9.598700873428986e-07,1041806.6500000001,44,6017.420000000001,9.44798626942984e-07,9.598700873428986e-07,1041806.6500000001
15,9.598700873428986e-07,1041806.6500000001,44,6017.420000000001,9.430996530029803e-07,9.598700873428986e-07,1041806.6500000001
16,9.605155309694317e-07,1041106.58,44,6010.42,9.514222190384808e-07,9.605155309694317e-07,1041106.58
17,9.630132236931221e-07,1038406.3400000001,44,5983.420000000001,9.519777806530714e-07,9.630132236931221e-07,1038406.3400000001
18,9.630132236931221e-07,1038406.3400000001,44,5983.420000000001,9.526259367958673e-07,9.630132236931221e-07,1038406.3400000001
19,9.6413795360196e-07,1037194.9700000001,43,6071.300000000001,9.52032145779018e-07,9.6413795360196e-07,1037194.9700000001
20,9.6413795360196e-07,1037194.9700000001,43,6071.300000000001,9.533602427536259e-07,9.6413795360196e-07,1037194.9700000001
21,9.684962784900975e-07,1032527.4900000001,42,6124.620000000002,9.512526230739816e-07,9.684962784900975e-07,1032527.4900000001
22,9.699995343032234e-07,1030927.3300000001,42,6108.620000000001,9.53445366092507e-07,9.699995343032234e-07,1030927.3300000001
23,9.717907228465103e-07,1029027.14,42,6089.62,9.54868562986262e-07,9.717907228465103e-07,1029027.14
24,9.717907228465103e-07,1029027.14,42,6089.62,9.535538573004637e-07,9.717907228465103e-07,1029027.14
25,9.717907228465103e-07,1029027.14,42,6089.62,9.526432515265765e-07,9.717907228465103e-07,1029027.14
26,9.726414914951497e-07,1028127.0500000002,42,6080.620000000001,9.557578090568803e-07,9.726414914951497e-07,1028127.0500000002
27,9.726414914951497e-07,1028127.0500000002,42,6080.620000000001,9.561148994940449e-07,9.726414914951497e-07,1028127.0500000002
28,9.730200797677968e-07,1027727.0200000001,42,6076.620000000001,9.64344782013974e-07,9.730200797677968e-07,1027727.0200000001
29,9.730200797677968e-07,1027727.0200000001,42,6076.620000000001,9.63268126047366e-07,9.730200797677968e-07,1027727.0200000001
30,9.730200892354777e-07,1027727.0100000001,42,6076.620000000001,9.655561128714992e-07,9.730200892354777e-07,1027727.0100000001
31,9.73382836599362e-07,1027344.0100000001,42,6072.790000000001,9.68782376158305e-07,9.73382836599362e-07,1027344.0100000001
32,9.737620118047805e-07,1026943.9700000001,42,6068.790000000001,9.642813825834897e-07,9.737620118047805e-07,1026943.9700000001
33,9.737620118047805e-07,1026943.9700000001,42,6068.790000000001,9.642694952607034e-07,9.737620118047805e-07,1026943.9700000001
34,9.737620118047805e-07,1026943.9700000001,42,6068.790000000001,9.626544020184987e-07,9.737620118047805e-07,1026943.9700000001
35,9.737620118047805e-07,1026943.9700000001,42,6068.790000000001,9.636289438288239e-07,9.737620118047805e-07,1026943.9700000001
36,9.74141454067438e-07,1026543.9600000001,42,6064.790000000001,9.665666986254956e-07,9.74141454067438e-07,1026543.9600000001
37,9.74141454067438e-07,1026543.9600000001,42,6064.790000000001,9.64212329018113e-07,9.74141454067438e-07,1026543.9600000001
38,9.747111484936662e-07,1025943.9700000001,42,6058.790000000001,9.666435503475982e-07,9.747111484936662e-07,1025943.9700000001
